Accuracy_Model_1,Accuracy_Model_2,Accuracy_Model_3,Accuracy_Model_4,Accuracy_Model_5,Accuracy_Model_6,Run,Model_training_time,Total_Time_Run,Method
0.9999976090168755,0.9999985654101253,1.0,0.9999995218033751,1.0,1.0,1,230.57835054397583,291.94673347473145,parallel_method
0.9999966526236258,0.9999961744270008,0.9999995218033751,1.0,1.0,1.0,1,625.695769071579,717.0539906024933,non-parallel_method
0.9999981699352386,0.9999885620952411,0.9999995424838096,1.0,1.0,1.0,2,224.2233030796051,287.7010586261749,parallel_method
0.9999972549028578,0.9999958823542868,0.9999995424838096,1.0,1.0,1.0,2,699.4331691265106,798.7921040058136,non-parallel_method
0.9999972092815574,0.9999939534433745,0.9999990697605191,1.0,1.0,0.9999995348802596,3,229.52065420150757,291.1463985443115,parallel_method
0.9999990697605191,0.999996744161817,0.9999981395210383,0.9999990697605191,1.0,0.9999990697605191,3,694.8770830631256,792.1031315326691,non-parallel_method
1.0,0.9999986242552061,1.0,1.0,1.0,0.9999995414184021,4,224.96234321594238,283.96393060684204,parallel_method
0.9999972485104123,0.9999977070920103,0.9999995414184021,1.0,1.0,1.0,4,695.0788662433624,790.290589094162,non-parallel_method
0.9999995497578372,1.0,0.9999990995156746,0.9999986492735118,0.9999990995156746,1.0,5,217.42137122154236,295.5668897628784,parallel_method
0.9999950473362098,0.9999977487891862,1.0,0.9999972985470236,1.0,1.0,5,662.7306203842163,764.4274022579193,non-parallel_method
0.9999944308076582,0.999997679503191,0.9999995359006382,0.9999986077019145,1.0,0.9999990718012763,6,225.5692756175995,286.1844291687012,parallel_method
0.9999972154038291,0.9999972154038291,0.9999995359006382,1.0,1.0,0.9999995359006382,6,631.9428305625916,727.9131829738617,non-parallel_method
0.9999995357883937,0.9999986073651813,1.0,1.0,1.0,1.0,7,215.42833471298218,275.59776306152344,parallel_method
0.9999986073651813,0.9999995357883937,0.9999967505187565,1.0,1.0,1.0,7,636.5177383422852,730.0585217475891,non-parallel_method
1.0,0.99999907224003,0.9999981444800601,1.0,0.99999907224003,1.0,8,227.24483633041382,289.4730591773987,parallel_method
0.9999972167200902,0.9999981444800601,1.0,0.999999536120015,1.0,0.999999536120015,8,674.1187591552734,770.021026134491,non-parallel_method
0.9999986907224594,0.9999995635741531,0.9999995635741531,0.9999995635741531,1.0,0.9999995635741531,9,256.56991744041443,350.4393663406372,parallel_method
0.9999973814449187,0.9999930171864498,1.0,1.0,0.9999991271483062,1.0,9,766.7696752548218,875.8830845355988,non-parallel_method
0.9999990449531024,0.9999985674296537,1.0,1.0,0.9999966573358585,1.0,10,210.4154863357544,314.5570378303528,parallel_method
0.9999995224765512,0.9999990449531024,0.9999985674296537,1.0,0.9999995224765512,1.0,10,616.6456532478333,707.2404375076294,non-parallel_method
0.9999972235204835,1.0,0.9999986117602417,1.0,1.0,0.9999986117602417,11,263.73588585853577,326.6280562877655,parallel_method
0.9999986117602417,0.9999962980273113,1.0,0.9999981490136557,1.0,0.999999537253414,11,729.0718145370483,828.8704926967621,non-parallel_method
0.9999971987343882,0.9999981324895921,1.0,1.0,1.0,0.9999985993671942,12,216.40691328048706,279.8608400821686,parallel_method
0.9999962649791843,0.9999985993671942,0.9999985993671942,1.0,1.0,0.9999995331223981,12,706.0367078781128,800.4665064811707,non-parallel_method
0.9999924603449486,0.9999976438577964,1.0,1.0,1.0,1.0,13,205.9087052345276,266.71455430984497,parallel_method
0.9999995287715593,0.9999948164871522,1.0,1.0,0.9999995287715593,1.0,13,690.1682631969452,784.1179645061493,non-parallel_method
0.9999962430908091,0.9999995303863511,1.0,0.9999981215454046,1.0,0.9999995303863511,14,223.3659679889679,282.1058039665222,parallel_method
0.9999985911590534,0.9999948342498627,0.9999995303863511,1.0,1.0,1.0,14,655.301563501358,751.14159989357,non-parallel_method
0.9999981192587435,0.9999995298146859,0.9999995298146859,1.0,1.0,1.0,15,223.18296098709106,278.91608333587646,parallel_method
0.9999981192587435,1.0,0.9999995298146859,1.0,1.0,0.9999995298146859,15,650.2370162010193,744.8578839302063,non-parallel_method
0.9999977164142771,0.9999986298485662,0.9999986298485662,0.9999995432828555,1.0,0.9999995432828555,16,238.61250233650208,302.4471836090088,parallel_method
0.9999958895456988,0.9999981731314217,1.0,1.0,1.0,0.9999995432828555,16,774.754557132721,876.5682697296143,non-parallel_method
0.9999960321711563,0.9999977956506424,1.0,1.0,1.0,1.0,17,235.45555710792542,298.9665458202362,parallel_method
0.9999995591301285,0.9999942686916702,0.9999964730410278,1.0,0.999999118260257,1.0,17,713.4501628875732,811.6976647377014,non-parallel_method
1.0,1.0,1.0,1.0,1.0,1.0,18,194.82759618759155,252.86019253730774,parallel_method
1.0,1.0,1.0,1.0,1.0,1.0,18,574.8012042045593,666.2590427398682,non-parallel_method
0.9999981863958834,0.9999990931979418,0.9999977329948544,0.9999995465989708,1.0,0.9999990931979418,19,250.12795972824097,313.7760064601898,parallel_method
0.9999968261927961,1.0,1.0,0.9999995465989708,0.9999995465989708,1.0,19,644.497389793396,741.1389312744141,non-parallel_method
0.9999976798692931,1.0,1.0,0.9999981438954345,1.0,1.0,20,220.03087830543518,284.3816087245941,parallel_method
0.9999976798692931,0.9999990719477172,1.0,0.9999995359738586,1.0,0.9999990719477172,20,679.2654316425323,772.2123200893402,non-parallel_method
